"","Series.Name","Series.Code","Country.Name","Country.Code","YR1992","YR1993","YR1994","YR1995","YR1996","YR1997","YR1998","YR1999","YR2000","YR2001","YR2002","YR2003","YR2004","YR2005","YR2006","YR2007","YR2008","YR2009","YR2010","YR2011","YR2012","YR2013","YR2014","YR2015","YR2016"
"1","Land area (sq. km)","AG.LND.TOTL.K2","Afghanistan","AFG",652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
"2","Land area (sq. km)","AG.LND.TOTL.K2","Albania","ALB",27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
"3","Land area (sq. km)","AG.LND.TOTL.K2","Algeria","DZA",2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740
"4","Land area (sq. km)","AG.LND.TOTL.K2","American Samoa","ASM",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"5","Land area (sq. km)","AG.LND.TOTL.K2","Andorra","AND",470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
"6","Land area (sq. km)","AG.LND.TOTL.K2","Angola","AGO",1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
"7","Land area (sq. km)","AG.LND.TOTL.K2","Antigua and Barbuda","ATG",440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
"8","Land area (sq. km)","AG.LND.TOTL.K2","Argentina","ARG",2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
"9","Land area (sq. km)","AG.LND.TOTL.K2","Armenia","ARM",28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470
"10","Land area (sq. km)","AG.LND.TOTL.K2","Aruba","ABW",180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
"11","Land area (sq. km)","AG.LND.TOTL.K2","Australia","AUS",7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7692020
"12","Land area (sq. km)","AG.LND.TOTL.K2","Austria","AUT",82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82577.998046875,82577.998046875,82577.998046875,82570.99609375,82560.99609375,82554.00390625,82530.99609375,82522.998046875,82522.998046875,82522.998046875
"13","Land area (sq. km)","AG.LND.TOTL.K2","Azerbaijan","AZE",83217.001953125,83217.001953125,83217.001953125,83217.001953125,83217.001953125,83217.001953125,83092.001953125,82705,82605,82604.00390625,82617.998046875,82652.001953125,82672.001953125,82660,82637.001953125,82629.00390625,82627.001953125,82622.001953125,82655.99609375,82657.998046875,82657.998046875,82659.00390625,82662.998046875,82662.998046875,82670
"14","Land area (sq. km)","AG.LND.TOTL.K2","Bahamas, The","BHS",10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010
"15","Land area (sq. km)","AG.LND.TOTL.K2","Bahrain","BHR",710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,761.999969482422,766.999969482422,770,770,770.999984741211,778.000030517578,778.000030517578
"16","Land area (sq. km)","AG.LND.TOTL.K2","Bangladesh","BGD",130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170
"17","Land area (sq. km)","AG.LND.TOTL.K2","Barbados","BRB",430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
"18","Land area (sq. km)","AG.LND.TOTL.K2","Belarus","BLR",202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202830,202830,202810,202830,202900,202900,202900,202820,202900,202910,202910,202908.0078125,202973.0078125,202978.0078125,202988.0078125
"19","Land area (sq. km)","AG.LND.TOTL.K2","Belgium","BEL",NA,NA,NA,NA,NA,NA,NA,NA,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280
"20","Land area (sq. km)","AG.LND.TOTL.K2","Belize","BLZ",22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810
"21","Land area (sq. km)","AG.LND.TOTL.K2","Benin","BEN",112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760
"22","Land area (sq. km)","AG.LND.TOTL.K2","Bermuda","BMU",54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743
"23","Land area (sq. km)","AG.LND.TOTL.K2","Bhutan","BTN",46722.998046875,46722.998046875,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,38116.9995117188,38116.9995117188,38116.9995117188,38116.9995117188,38116.9995117188,38116.9995117188,38116.9995117188,38116.9995117188,38116.9995117188,38116.9995117188,38116.9995117188,38116.9995117188,38143.9990234375
"24","Land area (sq. km)","AG.LND.TOTL.K2","Bolivia","BOL",1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300
"25","Land area (sq. km)","AG.LND.TOTL.K2","Bosnia and Herzegovina","BIH",51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200
"26","Land area (sq. km)","AG.LND.TOTL.K2","Botswana","BWA",566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730
"27","Land area (sq. km)","AG.LND.TOTL.K2","Brazil","BRA",8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140
"28","Land area (sq. km)","AG.LND.TOTL.K2","British Virgin Islands","VGB",150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
"29","Land area (sq. km)","AG.LND.TOTL.K2","Brunei Darussalam","BRN",5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270
"30","Land area (sq. km)","AG.LND.TOTL.K2","Bulgaria","BGR",110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,108800,108770,108760,108640,108630,108610,108610,108560,108560,108560,108560,108560,108560,108560,108560
"31","Land area (sq. km)","AG.LND.TOTL.K2","Burkina Faso","BFA",273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600
"32","Land area (sq. km)","AG.LND.TOTL.K2","Burundi","BDI",25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680
"33","Land area (sq. km)","AG.LND.TOTL.K2","Cabo Verde","CPV",4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030
"34","Land area (sq. km)","AG.LND.TOTL.K2","Cambodia","KHM",176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520
"35","Land area (sq. km)","AG.LND.TOTL.K2","Cameroon","CMR",472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710
"36","Land area (sq. km)","AG.LND.TOTL.K2","Canada","CAN",9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510
"37","Land area (sq. km)","AG.LND.TOTL.K2","Cayman Islands","CYM",240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
"38","Land area (sq. km)","AG.LND.TOTL.K2","Central African Republic","CAF",622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980
"39","Land area (sq. km)","AG.LND.TOTL.K2","Chad","TCD",1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200
"40","Land area (sq. km)","AG.LND.TOTL.K2","Channel Islands","CHI",197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605
"41","Land area (sq. km)","AG.LND.TOTL.K2","Chile","CHL",743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125,743532.03125
"42","Land area (sq. km)","AG.LND.TOTL.K2","China","CHN",9388250,9388250,9388250,9388240,9388230,9388230,9388230,9388230,9388220,9388214.375,9388213.125,9388212.5,9388212.5,9388211.875,9388211.25,9388210.625,9388210.625,9388211.25,9388211.25,9388211.25,9388211.25,9388211.25,9388211.25,9388211.25,9388210
"43","Land area (sq. km)","AG.LND.TOTL.K2","Colombia","COL",1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500
"44","Land area (sq. km)","AG.LND.TOTL.K2","Comoros","COM",1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516
"45","Land area (sq. km)","AG.LND.TOTL.K2","Congo, Dem. Rep.","COD",2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050
"46","Land area (sq. km)","AG.LND.TOTL.K2","Congo, Rep.","COG",341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500
"47","Land area (sq. km)","AG.LND.TOTL.K2","Costa Rica","CRI",51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060
"48","Land area (sq. km)","AG.LND.TOTL.K2","Cote d'Ivoire","CIV",318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000
"49","Land area (sq. km)","AG.LND.TOTL.K2","Croatia","HRV",55910,55910,55910,55910,55980,55980,55910,55910,55910,55910,55910,55910,55960,55960,55960,55960,55960,55960,55960,55960,55960,55960,55960,55960,55960
"50","Land area (sq. km)","AG.LND.TOTL.K2","Cuba","CUB",107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,106390,106400,106410,106440,106430,106440,106440,106440,106440,106862.998046875,106449.00390625,104220,104020,104020,104020
"51","Land area (sq. km)","AG.LND.TOTL.K2","Curacao","CUW",444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
"52","Land area (sq. km)","AG.LND.TOTL.K2","Cyprus","CYP",9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240
"53","Land area (sq. km)","AG.LND.TOTL.K2","Czech Republic","CZE",77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77260,77260,77250,77250,77250,77250,77240,77240,77230,77220,77220,77210,77220
"54","Land area (sq. km)","AG.LND.TOTL.K2","Denmark","DNK",42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,41990,41990,41990,41990,41990
"55","Land area (sq. km)","AG.LND.TOTL.K2","Djibouti","DJI",23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180
"56","Land area (sq. km)","AG.LND.TOTL.K2","Dominica","DMA",750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
"57","Land area (sq. km)","AG.LND.TOTL.K2","Dominican Republic","DOM",48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310
"58","Land area (sq. km)","AG.LND.TOTL.K2","Ecuador","ECU",276840,276840,276840,276840,276840,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360
"59","Land area (sq. km)","AG.LND.TOTL.K2","Egypt, Arab Rep.","EGY",995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450
"60","Land area (sq. km)","AG.LND.TOTL.K2","El Salvador","SLV",20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720
"61","Land area (sq. km)","AG.LND.TOTL.K2","Equatorial Guinea","GNQ",28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
"62","Land area (sq. km)","AG.LND.TOTL.K2","Eritrea","ERI",101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
"63","Land area (sq. km)","AG.LND.TOTL.K2","Estonia","EST",42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,43470,43470,43470,43470
"64","Land area (sq. km)","AG.LND.TOTL.K2","Eswatini","SWZ",17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200
"65","Land area (sq. km)","AG.LND.TOTL.K2","Ethiopia","ETH",1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
"66","Land area (sq. km)","AG.LND.TOTL.K2","Faroe Islands","FRO",1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516,1396.00006103516
"67","Land area (sq. km)","AG.LND.TOTL.K2","Fiji","FJI",18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270
"68","Land area (sq. km)","AG.LND.TOTL.K2","Finland","FIN",304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304110,304090,303900,303900,303900,303890,303890,303890,303890,303910,303910
"69","Land area (sq. km)","AG.LND.TOTL.K2","France","FRA",547566.015625,547566.015625,547566.015625,547566.015625,547566.015625,547566.015625,547566.015625,547566.015625,547566.9921875,547566.9921875,547566.9921875,547866.9921875,547566.9921875,547556.9921875,547556.9921875,547556.9921875,547556.9921875,547556.9921875,547556.9921875,547556.9921875,547556.9921875,547556.9921875,547556.9921875,547556.9921875,547556.9921875
"70","Land area (sq. km)","AG.LND.TOTL.K2","French Polynesia","PYF",3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660
"71","Land area (sq. km)","AG.LND.TOTL.K2","Gabon","GAB",257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670
"72","Land area (sq. km)","AG.LND.TOTL.K2","Gambia, The","GMB",10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120
"73","Land area (sq. km)","AG.LND.TOTL.K2","Georgia","GEO",69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490
"74","Land area (sq. km)","AG.LND.TOTL.K2","Germany","DEU",349130,349120,349110,349100,349090,349050,349020,348980,348950,348900,348860,348810,348770,348760,348720,348670,348630,348610,348570,348560,348540,348880,348900,348858.984375,349360
"75","Land area (sq. km)","AG.LND.TOTL.K2","Ghana","GHA",227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540
"76","Land area (sq. km)","AG.LND.TOTL.K2","Gibraltar","GIB",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"77","Land area (sq. km)","AG.LND.TOTL.K2","Greece","GRC",128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900
"78","Land area (sq. km)","AG.LND.TOTL.K2","Greenland","GRL",341700,341700,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450
"79","Land area (sq. km)","AG.LND.TOTL.K2","Grenada","GRD",340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
"80","Land area (sq. km)","AG.LND.TOTL.K2","Guam","GUM",540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
"81","Land area (sq. km)","AG.LND.TOTL.K2","Guatemala","GTM",107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160
"82","Land area (sq. km)","AG.LND.TOTL.K2","Guinea","GIN",245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720
"83","Land area (sq. km)","AG.LND.TOTL.K2","Guinea-Bissau","GNB",28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120
"84","Land area (sq. km)","AG.LND.TOTL.K2","Guyana","GUY",196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850
"85","Land area (sq. km)","AG.LND.TOTL.K2","Haiti","HTI",27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560
"86","Land area (sq. km)","AG.LND.TOTL.K2","Honduras","HND",111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890
"87","Land area (sq. km)","AG.LND.TOTL.K2","Hong Kong SAR, China","HKG",990,990,990,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
"88","Land area (sq. km)","AG.LND.TOTL.K2","Hungary","HUN",89870,89860,89860,89860,89860,89800,89800,89800,89620,89620,89620,89620,89620,89610,89610,89610,89610,90530,90530,90530,90530,90530,90530,90530,90530
"89","Land area (sq. km)","AG.LND.TOTL.K2","Iceland","ISL",100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250
"90","Land area (sq. km)","AG.LND.TOTL.K2","India","IND",2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190
"91","Land area (sq. km)","AG.LND.TOTL.K2","Indonesia","IDN",1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570
"92","Land area (sq. km)","AG.LND.TOTL.K2","Iran, Islamic Rep.","IRN",1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760
"93","Land area (sq. km)","AG.LND.TOTL.K2","Iraq","IRQ",437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,434320,434320,434320,434320,434128.0078125,434128.0078125,434128.0078125,434128.0078125
"94","Land area (sq. km)","AG.LND.TOTL.K2","Ireland","IRL",68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890
"95","Land area (sq. km)","AG.LND.TOTL.K2","Isle of Man","IMN",570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
"96","Land area (sq. km)","AG.LND.TOTL.K2","Israel","ISR",21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640
"97","Land area (sq. km)","AG.LND.TOTL.K2","Italy","ITA",294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140
"98","Land area (sq. km)","AG.LND.TOTL.K2","Jamaica","JAM",10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830
"99","Land area (sq. km)","AG.LND.TOTL.K2","Japan","JPN",364600,364600,364600,364600,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364550,364555,364560,364560,364560,364560,364560
"100","Land area (sq. km)","AG.LND.TOTL.K2","Jordan","JOR",88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88780,88780,88780,88780,88780,88780,88780,88780
"101","Land area (sq. km)","AG.LND.TOTL.K2","Kazakhstan","KAZ",2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700
"102","Land area (sq. km)","AG.LND.TOTL.K2","Kenya","KEN",569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140
"103","Land area (sq. km)","AG.LND.TOTL.K2","Kiribati","KIR",810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810
"104","Land area (sq. km)","AG.LND.TOTL.K2","Korea, Dem. People’s Rep.","PRK",120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410
"105","Land area (sq. km)","AG.LND.TOTL.K2","Korea, Rep.","KOR",96460,96460,96460,96460,96460,96460,96460,96460,96460,96740,96790,96800,96820,96850,96880,96920,96990,97060,97200,97190,97310,97425.99609375,97430,97445,97489.00390625
"106","Land area (sq. km)","AG.LND.TOTL.K2","Kosovo","XKX",10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887
"107","Land area (sq. km)","AG.LND.TOTL.K2","Kuwait","KWT",17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820
"108","Land area (sq. km)","AG.LND.TOTL.K2","Kyrgyz Republic","KGZ",191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800
"109","Land area (sq. km)","AG.LND.TOTL.K2","Lao PDR","LAO",230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800
"110","Land area (sq. km)","AG.LND.TOTL.K2","Latvia","LVA",62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62196.0009765625,62180,62240,62200,62180,62190,62180,62180,62180
"111","Land area (sq. km)","AG.LND.TOTL.K2","Lebanon","LBN",10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230
"112","Land area (sq. km)","AG.LND.TOTL.K2","Lesotho","LSO",30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360
"113","Land area (sq. km)","AG.LND.TOTL.K2","Liberia","LBR",96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320
